CAMPIGLIA CERVO ;146;114;1;5;
CANDELO ;6661;5590;53;277;
CAPRILE ;173;140;2;5;
CASAPINTA ;382;317;3;16;
CASTELLETTO CERVO ;670;552;8;22;
CAVAGLIA' ;2878;2395;26;110;
CERRETO CASTELLO ;542;484;4;18;
CERRIONE ;2377;2016;20;94;
COGGIOLA ;1846;1467;35;59;
COSSATO ;12393;10200;100;452;
CREVACUORE ;1444;1185;14;46;
CROSA ;248;201;2;10;
CURINO ;414;323;8;19;
DONATO ;626;448;9;30;
DORZANO ;411;320;7;15;
GAGLIANICO ;3206;2698;24;139;
GIFFLENGA ;109;100;5;14;
GRAGLIA ;1374;1012;10;45;
LESSONA ;2077;1743;12;80;
MAGNANO ;325;268;3;9;
MASSAZZA ;422;360;6;29;
MASSERANO ;1856;1471;13;55;
MEZZANA MORTIGLIENGO ;488;425;7;28;
MIAGLIANO ;549;425;2;20;
MONGRANDO ;3246;2621;27;159;
MOSSO ;1325;1037;15;70;
MOTTALCIATA ;1205;987;11;53;
MUZZANO ;537;457;3;21;
NETRO ;820;627;2;20;
OCCHIEPPO INFERIORE ;3282;2621;17;114;
OCCHIEPPO SUPERIORE ;2398;2004;12;90;
PETTINENGO ;1303;1037;12;53;
PIATTO ;468;394;1;11;
PIEDICAVALLO ;176;131;0;5;
POLLONE ;1883;1405;14;61;
PONDERANO ;3337;2772;29;126;
PORTULA ;1173;953;5;45;
PRALUNGO ;2240;1810;28;91;
PRAY ;1961;1588;18;71;
QUAREGNA ;1151;995;9;46;
QUITTENGO ;190;146;2;5;
RONCO BIELLESE ;1210;993;5;30;
ROPPOLO ;745;643;6;35;
ROSAZZA ;85;73;1;4;
SAGLIANO MICCA ;1376;1107;12;53;
SALA BIELLESE ;514;380;5;20;
SALUSSOLA ;1715;1353;13;63;
SANDIGLIANO ;2375;1996;18;79;
SAN PAOLO CERVO ;121;86;0;2;
SELVE MARCONE ;88;76;1;4;
SOPRANA ;669;555;17;31;
SORDEVOLO ;1122;889;11;53;
SOSTEGNO ;650;521;10;31;
STRONA ;964;799;12;57;
TAVIGLIANO ;766;626;5;42;
